station_id,start_date,end_date,prop_missing_data,q_uncert_num_curves,q_uncert_n,q_uncert_q10,q_uncert_q10_upper,q_uncert_q10_lower,q_uncert_q50,q_uncert_q50_upper,q_uncert_q50_lower,q_uncert_q90,q_uncert_q90_upper,q_uncert_q90_lower
403226,19670301,20141231,0.0256967893321124,6,15784,0.010194995,62.14%,-40.36%,0.215001854,19.66%,-17.08%,1.990413346,9.40%,-8.72%
403232,19721201,20141231,0.0199076182421443,6,12914,0.055366321,33.40%,-24.51%,0.305159617,16.92%,-14.75%,2.60284996,8.97%,-8.31%
404207,19600511,20141231,0.00275578715302134,8,18753,0.00461843,47.32%,-34.28%,0.115019793,27.09%,-22.80%,1.231541676,11.86%,-10.89%
405205,19750609,20141231,0.000553594906926856,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
405209,19731214,20141231,0.000466884546121523,4,21998,0.241772132,10.65%,-9.78%,0.825254874,9.28%,-8.60%,3.223475551,7.41%,-6.96%
405215,19740221,20141231,0.00147413562047708,2,13574,0.084979432,25.02%,-21.23%,0.569688769,13.92%,-12.66%,2.989742896,8.56%,-8.07%
405217,19750419,20141231,0.00372362432767894,4,13396,0.071071904,115.19%,-60.36%,0.284847307,50.54%,-34.34%,1.68587035,24.14%,-19.42%
405218,19590221,20141231,0,10,19880,0.113061968,19.20%,-16.62%,0.688946292,12.33%,-11.19%,4.221363141,8.37%,-7.81%
405219,19671214,20141231,0.00890311318009892,5,16001,0.094264054,21.09%,-18.00%,0.494637391,14.30%,-12.82%,3.313402947,9.38%,-8.72%
405226,19740510,20141231,0.0109120301764785,7,13528,0,n/a,n/a,0.012547032,104.91%,-57.99%,0.335324708,26.66%,-22.18%
405227,19700820,20141231,0,6,14880,0.16462506,17.44%,-15.61%,0.614687948,11.09%,-10.29%,3.144547047,6.87%,-6.52%
405238,19721210,20141231,0.00755110011717224,2,14113,0,n/a,n/a,0.031041144,23.50%,-19.01%,0.735733414,4.77%,-4.55%
405245,19700715,20141231,0.000738870759189705,1,15116,0.000852958,n/a,n/a,0.019608184,43.42%,-32.23%,0.342707587,22.20%,-18.86%
405248,19710421,20141231,0.000438569011966669,3,14789,0,n/a,n/a,0.001369374,152.64%,-71.53%,0.138650462,29.62%,-24.35%
405251,19731018,20141231,0.00186046511627907,3,13926,0.037099663,26.72%,-21.97%,0.158514334,16.51%,-14.66%,0.655142496,10.63%,-9.78%
405263,19750510,20111214,0,3,13339,0.098288462,13.32%,-12.00%,0.467948718,9.67%,-8.90%,2.970420024,6.12%,-5.82%
405264,19750322,20141231,0.000275292498279422,3,13344,0.195538782,12.99%,-11.75%,0.702225854,9.71%,-8.98%,3.151857355,7.27%,-6.85%
405274,19770611,20141231,0,3,12632,0.003858842,134.98%,-70.21%,0.035281588,35.44%,-28.02%,0.677458104,13.86%,-12.59%
406208,19510101,20141231,4.27789185489391e-05,3,20776,0,n/a,n/a,0.052769921,61.01%,-41.38%,1.292734828,24.59%,-20.21%
406213,19750813,20141231,0.000556096204643403,2,12973,0,n/a,n/a,0.018965361,31.05%,-21.31%,0.585738245,9.08%,-7.96%
406214,19721207,20141231,0.00149690855841198,5,14165,0,n/a,n/a,0.003810364,246.26%,-89.88%,0.247836579,36.52%,-27.95%
406224,19750705,20141231,0.00956672443674177,1,13340,0,n/a,n/a,0,n/a,n/a,0.014444573,55.77%,-39.12%
407214,19510101,20141231,0,2,21005,0.001525204,n/a,n/a,0.016862872,35.67%,-24.72%,0.559371933,8.54%,-7.73%
407215,19750712,20141231,0.00499375780274657,3,13248,0,n/a,n/a,0.02909927,39.68%,-22.14%,0.413410511,11.29%,-9.45%
407220,19730207,20141209,0.00549702244617499,2,19843,0,n/a,n/a,0.012820484,136.82%,-65.45%,0.188598689,31.56%,-25.81%
407230,19730112,20141231,0.0182660317046122,2,13864,0,n/a,n/a,0.010609682,91.40%,-59.18%,0.246683024,26.36%,-21.41%
407253,19731129,20141231,0.0418443496801706,2,14799,0.000714853,n/a,n/a,0.021510228,26.38%,-20.37%,0.138183723,13.55%,-11.78%
408200,19641229,20140921,0.0536776040519709,1,14244,0.001045566,109.02%,-58.02%,0.007431233,65.53%,-42.98%,0.13817693,32.62%,-25.89%
408202,19661103,20141231,0.0025012790631573,7,16434,0,n/a,n/a,0.027415405,84.33%,-53.83%,0.255877285,26.29%,-22.04%
410057,19570525,20141231,0.000332699619771863,9,4756,0.256519482,12.19%,-10.98%,0.739960132,10.26%,-9.40%,2.747713254,9.09%,-8.41%
410061,19510101,20141231,0.0190793976728268,5,12754,0.11635,10.67%,-9.05%,0.377747271,14.83%,-11.79%,1.213764666,9.88%,-8.23%
410705,19510101,20141231,0.00308008213552361,4,22168,0.00013916,39.20%,-27.04%,0.036748896,3.74%,-3.46%,0.318988755,1.14%,-1.10%
410730,19630705,20141231,0.00175457252233092,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
410731,19641114,20141231,0.0157291097760786,3,16893,0.013541323,5.43%,-4.39%,0.096339904,3.79%,-3.18%,0.460176225,n/a,n/a
410734,19660804,20141231,0.00418504694039136,4,16748,0.011186109,14.18%,-12.58%,0.085793409,10.19%,-9.30%,0.506500886,9.05%,-8.47%
410761,19741114,20141205,0.00587752870420995,3,13718,0.006402285,15.25%,-13.69%,0.052147063,8.76%,-8.22%,0.302472352,n/a,n/a
412028,19510101,20141210,0.0133162063797902,5,14074,0.014610946,34.08%,-25.75%,0.091592089,21.08%,-18.66%,0.667430758,10.31%,-8.80%
412050,19690613,20141231,0.0746483952398125,5,11595,0.014942157,30.22%,-25.15%,0.076028447,17.18%,-15.27%,0.685534835,9.70%,-8.95%
412066,19600623,20141231,0.011046949535526,6,15569,0.00823935,28.27%,-23.01%,0.074969449,12.46%,-11.29%,0.684572895,7.20%,-6.65%
415207,19630324,20141231,0.000211517106445984,5,13998,0.000327014,42116.36%,-100%,0.023872073,419.25%,-36.86%,0.306083388,117.34%,-51.27%
415226,19710430,20141231,0.00420010030090271,1,14740,0,n/a,n/a,0,n/a,n/a,0.019275251,88.14%,-49.69%
415237,19761219,20141231,0.00172761301468471,2,12768,0,n/a,n/a,0,n/a,n/a,0.125751795,42.10%,-31.79%
416003,19780906,20141231,0.00844263530830695,1,8771,0.000106289,n/a,n/a,0.037223563,47.69%,-36.69%,0.363166997,18.75%,-16.78%
416008,19700626,20141231,0.0214022140221402,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
418005,19701015,20141231,0.00520156046814044,1,4929,0.001624386,n/a,n/a,0.028733011,13.27%,-12.41%,0.287678568,n/a,n/a
418014,19700912,20141231,0.00710666172290199,1,3592,0,n/a,n/a,0.018183491,37.35%,-31.52%,0.193906439,10.96%,-10.40%
419005,19510101,20141231,0.00603182751540041,8,414,0.021629189,21.56%,-17.52%,0.072283607,13.95%,-12.07%,0.571547774,6.81%,-6.26%
422202B,19510101,20141231,0.0257956878850103,1,20508,0,n/a,n/a,1.52881E-05,n/a,n/a,0.038429738,4.62%,-4.43%
422306A,19510101,20141231,0.0127053388090349,3,21586,0.00101006,n/a,n/a,0.027735043,68.00%,-51.98%,0.324485348,16.09%,-14.83%
422313B,19721002,20141231,0.00447151837210809,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
422319B,19681002,20141231,0.0603836135448733,2,13527,0,n/a,n/a,0.02690289,59.79%,-42.49%,0.218115995,32.57%,-26.75%
422321B,19721003,20141231,0.00155541153596889,2,14186,0.085496096,84.78%,-58.88%,0.358755255,29.15%,-24.91%,1.411798799,14.66%,-13.54%
422334A,19690417,20141231,0.0079664570230608,3,15641,0.000581334,171.00%,-74.67%,0.010567128,42.16%,-31.77%,0.045622006,33.39%,-26.02%
422394A,19721203,20141231,0.0137289348688919,1,13718,0.007864369,156.38%,-70.16%,0.088654973,74.32%,-47.22%,0.519711714,45.40%,-33.66%
424002,19751124,20141231,0,1,154,0,n/a,n/a,0.000689357,98.97%,-54.58%,0.021299108,44.49%,-32.64%
424201A,19670419,20141231,0.0365013774104683,1,15842,0,n/a,n/a,0.000579124,195.75%,-82.62%,0.084576927,22.90%,-19.96%
102101A,19671002,20141231,0.0531347780739367,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
104001A,19700120,20141231,0.0657245538161662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
105101A,19671216,20141231,0.0358493860210673,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
105102A,19680329,20141231,0.0725452309854207,1,12541,0,n/a,n/a,0.00714916,111.26%,-64.10%,1.054500756,14.69%,-13.42%
105105A,19690226,20141231,0.0471185428486115,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
107001B,19671002,20141231,0.0519758952369915,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
108002A,19680927,20141231,0.0268094928093744,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
108003A,19700118,20141231,0.00152262622571411,2,15506,0.485259048,30.67%,-27.13%,2.320260952,12.00%,-11.41%,12.2212381,n/a,n/a
112002A,19510101,20141231,0.00491957563312799,1,13443,0.75519625,13.00%,-10.08%,2.94161875,5.49%,-4.91%,12.6754875,2.33%,-2.22%
112102A,19700527,20141231,0.00116635972989564,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
113004A,19661223,20141231,0.0118009235505387,3,15483,0.81991349,20.72%,-17.47%,2.701916488,16.22%,-14.29%,10.72650964,10.00%,-9.24%
116006B,19690917,20141231,0.00398984403336961,2,15108,0.024763232,70.10%,-44.96%,0.16440037,39.37%,-30.27%,1.674880315,20.69%,-17.78%
116010A,19601002,20141231,0.0103966892096497,3,18503,0.122492504,21.73%,-18.25%,0.468240741,15.39%,-13.63%,2.846731041,13.64%,-12.03%
116011A,19600720,20141231,0.0186544650040225,4,18241,0.160379691,30.95%,-24.77%,0.697022075,28.30%,-22.92%,3.417240618,18.50%,-16.10%
116012A,19611003,20141231,0.00149115590292061,2,18421,0.029394984,61.65%,-43.30%,0.199678826,29.26%,-24.45%,1.735870618,14.06%,-12.90%
116013A,19611226,20141231,0.0177132823796736,6,18280,0.12024067,38.71%,-28.97%,0.501321227,23.96%,-19.93%,2.845996556,15.07%,-13.36%
116014A,19611202,20141231,0.0303796162574789,4,17813,0.000123502,933.45%,-100%,0.069905706,44.62%,-29.87%,1.410782713,17.17%,-14.40%
116015A,19661022,20141231,0.0459012668295177,1,16637,0.084824464,80.88%,-50.68%,0.563636219,43.76%,-33.16%,4.239355044,23.73%,-20.23%
121001A,19570303,20141231,0.0104151872366615,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
122004A,19721025,20141231,0.0111630321910696,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
126003A,19731110,20141231,0.0342050974911825,1,13074,0,n/a,n/a,0.064200657,63.19%,-43.58%,1.716821983,20.75%,-18.10%
136202D,19641002,20141231,0.0148749523238708,3,16550,0.000117413,n/a,n/a,0.009320159,79.35%,-48.04%,0.199176108,30.83%,-24.98%
136203A,19510101,20141231,0.116914784394251,3,13484,0,n/a,n/a,0.005488542,445.04%,-85.91%,0.143743611,128.11%,-55.76%
136208A,19680613,20141231,0.0606951714403341,4,15894,0,n/a,n/a,0.000841289,326.08%,-74.53%,0.099412961,22.35%,-18.84%
137101A,19660212,20141231,0.00246429571548586,4,15165,0,n/a,n/a,0.003310543,129.76%,-61.38%,0.180114424,26.13%,-21.27%
137201A,19660211,20141231,0.022793458781362,3,14724,0,n/a,n/a,0.005655276,289.46%,-80.08%,0.172246187,48.37%,-34.41%
138004B,19741002,20141231,0.0123120876130875,1,13774,5.91598E-05,897.09%,-100%,0.012038646,75.91%,-50.53%,0.264563162,22.59%,-19.69%
138009A,19740714,20141231,0.0308504160746905,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
138010A,19741016,20141231,0.136719547899503,2,11825,0,n/a,n/a,0.00808593,71.42%,-49.54%,0.169516487,19.06%,-16.67%
138113A,19711111,20141231,0.0540077425905947,1,13048,0.000691938,379.87%,-100%,0.068679096,14.76%,-10.74%,0.706885496,4.03%,-3.67%
143009A,19620208,20141231,0.00445134575569358,1,18157,0.000106679,n/a,n/a,0.026243958,82.55%,-54.72%,0.222458345,31.66%,-26.57%
143110A,19690223,20141231,0.0437664198710294,1,14712,0,n/a,n/a,0.009194988,444.21%,-98.58%,0.280221241,91.17%,-56.31%
143303A,19510101,20141231,0.00491957563312799,5,22239,0.042631885,110.12%,-60.60%,0.360232692,37.27%,-30.11%,3.210665385,15.96%,-14.10%
145010A,19651128,20141231,0.0014500027884669,6,16754,0.068139622,92.23%,-47.05%,0.288508321,32.87%,-27.61%,1.376670953,17.33%,-15.18%
145011A,19660209,20141231,0.0151192742748348,4,16961,0.002173961,257.06%,-84.83%,0.053623309,65.06%,-42.57%,0.51207971,31.99%,-25.40%
145018A,19700507,20141231,0.0122011036174126,3,15074,0.002334429,540.35%,-89.28%,0.066853252,95.57%,-52.17%,0.787889448,33.67%,-26.04%
145101D,19540317,20141231,0.00589957216843053,3,14068,0.014732662,137.04%,-79.67%,0.194559652,53.54%,-37.92%,1.116940048,22.97%,-19.59%
145107A,19730126,20141231,0.0019588638589618,1,14271,0.086140321,n/a,n/a,0.29209328,3.88%,-3.44%,1.600682046,2.32%,-2.15%
146010A,19621003,20141231,0.000943247916994183,5,18112,0.015534206,289.77%,-76.21%,0.212012371,46.47%,-38.64%,1.37977732,16.69%,-15.17%
146012A,19700221,20141231,0.0157461092462618,4,15050,0.073183455,139.92%,-76.14%,0.554564784,54.66%,-39.18%,3.973561462,25.62%,-20.89%
146014A,19710607,20141231,0.00804323237401031,2,14947,0.116392941,82.88%,-55.06%,0.605617647,38.71%,-31.24%,2.980114706,20.05%,-17.78%
146095A,19700605,20141231,0.00995024875621891,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
A5030502,19690329,20141231,0,2,15709,0.005619052,n/a,n/a,0.083547015,59.78%,-41.71%,0.764029851,25.22%,-21.48%
A5040517,19761009,20060625,0.0574087725764836,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
A5040523,19771112,20141231,0.0461515777056915,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
A5050517,19770624,20141231,0.020576431959139,1,10750,0.000505744,n/a,n/a,0.00496371,n/a,n/a,0.135632158,50.69%,-37.24%
A5130501,19710730,20141231,0.0389004476388626,1,13700,0,n/a,n/a,0.045250945,23.69%,-20.11%,0.520167297,12.40%,-11.34%
204034,19710818,20141231,0.00643858098724908,3,1369,0.019405029,23.45%,-19.49%,0.056287678,15.53%,-13.70%,0.239312072,9.48%,-8.77%
206014,19540624,20141231,0.0131186103320366,3,2077,0.011940692,25.91%,-20.93%,0.054382806,13.82%,-12.27%,0.481663693,5.34%,-5.05%
206018,19600330,20141231,0.00655,8,5886,0.000497161,474.11%,-43.12%,0.016577413,37.14%,-32.12%,0.201290995,13.74%,-12.43%
208007,19510101,20141231,0.0230578370978782,5,6356,0.07769577,37.61%,-32.41%,0.228771827,21.79%,-20.05%,0.943760126,10.46%,-9.82%
208009,19510101,20141231,0.0411960985626283,3,2447,0.055229677,35.29%,-29.89%,0.219254785,18.47%,-17.01%,1.438694389,7.43%,-7.16%
210006,19510101,20141231,0.0234428473648186,2,7585,0.000409191,291.90%,-69.27%,0.007485666,62.02%,-45.19%,0.072645667,19.55%,-17.80%
210011,19510101,20141231,0.0108658453114305,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
211008,19691219,20141231,0.0714329138549456,2,7737,0,n/a,n/a,0.028235445,83.93%,-56.07%,0.545291403,23.92%,-19.91%
212209,19700206,20141231,0.0432317073170732,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
212260,19700102,20141231,0.0247033769394585,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
215002,19690612,20141231,0.0715788208425987,8,12893,0.026772521,51.22%,-35.26%,0.114031519,35.27%,-26.64%,0.582060745,24.97%,-20.23%
215004,19510101,20141209,0.0362250578059433,7,6461,0.020344411,126.66%,-32.08%,0.126430666,29.43%,-17.80%,1.137147221,10.62%,-8.94%
215207,19770715,20141230,0.0122780092085069,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
216002,19600709,20141008,0.0355791067373202,5,15832,0.027822008,61.06%,-40.43%,0.202375247,23.95%,-19.28%,1.344528324,9.84%,-8.72%
216004,19700411,20141231,0.0498898139079334,3,9809,0,n/a,n/a,0.039103747,73.18%,-47.87%,0.575968308,28.29%,-23.28%
218001,19701112,20141231,0.00490044041932883,4,15307,0.026850166,39.48%,-28.34%,0.226298557,21.01%,-17.32%,1.363749168,14.16%,-12.12%
219001,19510101,20141231,0,9,22074,0.142107124,40.40%,-31.22%,0.540178758,42.92%,-25.68%,2.240960784,20.18%,-18.21%
221207,19680222,20141231,0.0115687992988606,5,14723,0.294434409,5.79%,-5.35%,0.605926629,7.22%,-6.63%,1.872760278,5.61%,-5.17%
221210,19720824,20141231,0,3,13264,0.004558106,39.10%,-30.46%,0.058567716,14.45%,-13.16%,0.483782189,6.20%,-5.92%
222206,19510101,20141231,0.00534736481861739,1,21077,0.047096118,n/a,n/a,0.191578761,10.97%,-9.95%,0.962578643,9.92%,-9.08%
222213,19570726,20141231,0.00619696825245495,5,15815,0.036215342,21.40%,-17.49%,0.175990102,11.48%,-10.34%,0.801613968,6.78%,-6.36%
223202,19510101,20141231,0,7,20775,0.017672459,32.61%,-25.62%,0.092112155,21.92%,-18.31%,0.538425361,13.19%,-11.72%
224206,19600311,20141231,0,5,20162,0.034391953,42.51%,-32.70%,0.372740633,16.08%,-14.47%,2.030247664,9.06%,-8.47%
224213A,19730525,20141231,0.000921295077652014,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
224214A,19740815,20141231,0.00440707844599634,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
225020A,19620122,20141231,0.129906397062626,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
225110A,19780728,20141231,0.0497519915827446,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
225219,19670409,20141231,0.00154869794654124,3,15217,0.040462308,24.20%,-20.34%,0.477480769,11.92%,-10.90%,2.712395105,7.60%,-7.17%
226220,19570307,20141231,0.0412424830721152,7,16046,0.276940979,15.45%,-14.20%,0.556055662,11.60%,-10.87%,1.289889635,8.04%,-7.64%
226222,19710512,20141231,0.106461731493099,6,12089,0.558477898,13.29%,-13.08%,1.029761978,9.12%,-8.58%,1.92568779,7.43%,-6.96%
226407,19720511,20141231,0.169181380417335,4,14253,0.117875652,46.34%,-33.89%,0.408966087,34.17%,-26.15%,1.845613913,25.78%,-20.14%
227225A,19680425,20141231,0.00158339197748065,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
227226,19700425,20141231,0.000428869011150594,4,14187,0.047637341,54.56%,-39.78%,0.267859953,24.86%,-21.48%,1.663323367,11.46%,-10.64%
227227,19731026,20141231,0,4,14083,0.000751665,n/a,n/a,0.175158896,34.36%,-29.41%,2.308352046,11.50%,-10.59%
229650A,19790529,20141231,0.100838397046381,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
229661A,19790518,20141231,0.0816938210882263,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
230210,19680510,20141231,0.00369783412572636,2,14700,0,n/a,n/a,0.020721372,72.12%,-18.69%,0.480349231,9.39%,-8.56%
231213,19590417,20141231,0.0057008059760173,4,18128,0,n/a,n/a,0.102107236,33.21%,-26.29%,1.130338983,16.66%,-14.74%
235205,19580214,20141231,0,6,18609,0.379256818,55.00%,-45.27%,1.612534091,20.79%,-19.14%,5.495236364,9.86%,-9.35%
236213,19741024,20141231,0.00190748688602766,6,15367,0,n/a,n/a,0.001346639,93.37%,-45.04%,0.1621298,16.29%,-14.34%
238208,19510101,20141231,0.000128336755646817,5,21219,0.051554222,38.45%,-30.02%,0.133338222,34.24%,-26.60%,1.005499556,20.94%,-17.61%
A2390519,19710605,20141230,0.00395852968897267,2,14825,0,n/a,n/a,0.00346346,93.78%,-41.44%,0.071000129,29.60%,-23.69%
A2390523,19730602,20140428,0.00247640720165986,2,11595,0.000603607,n/a,n/a,0.004688793,25.00%,-20.49%,0.020765925,15.10%,-13.31%
A2390531,19760812,20140908,0.00345149924498454,1,12919,0,n/a,n/a,0,n/a,n/a,0.014161176,71.16%,-47.18%
604053,19560420,20141231,9.32835820895522e-05,2,19918,0.000879228,n/a,n/a,0.010991555,49.04%,-38.42%,0.348470566,9.57%,-9.02%
606001,19750517,20141231,0,1,13416,0,n/a,n/a,0.011324499,33.97%,-26.42%,0.601344733,16.53%,-14.51%
606002,19820711,20141231,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
606185,19640102,20141231,0.218768454394159,2,12845,0.000683383,183.48%,-81.65%,0.075393516,31.49%,-25.13%,1.556653664,12.58%,-11.24%
607155,19610511,20130221,0.140681998413957,8,16078,0.005287473,246.06%,-100%,0.159779824,27.60%,-23.77%,2.42504964,7.71%,-7.24%
608002,19750424,20141231,0,3,13461,0.064882697,20.83%,-18.89%,0.225229213,15.64%,-14.06%,0.983649438,9.59%,-8.97%
610008,19770507,20141231,0.147749581909402,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
613002,19700320,20141231,0,3,15468,0.019558709,16.54%,-14.43%,0.268988791,14.47%,-13.98%,1.455344429,5.98%,-5.75%
